months_as_customer,age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
70,26,2005-06-08,OH,500/1000,1000,1199.44,5000000,MALE,COLLEGE,MACHINE-OP-INSPCT,HIKING,OWN-CHILD,63600,0,2015-02-22,MULTI-VEHICLE COLLISION,REAR COLLISION,MAJOR DAMAGE,OTHER,NY,RIVERWOOD,0,3,NO,1,2,YES,52110,5790,5790,40530,NISSAN,MAXIMA,2012,0
140,31,2004-11-15,IN,500/1000,500,708.64,6000000,MALE,HIGH SCHOOL,MACHINE-OP-INSPCT,READING,UNMARRIED,53500,0,2015-01-06,SINGLE VEHICLE COLLISION,SIDE COLLISION,TOTAL LOSS,POLICE,WV,NORTHBEND,9,1,NO,0,2,YES,77880,14160,7080,56640,SUBURU,LEGACY,2015,0
160,37,2014-12-28,OH,500/1000,500,1374.22,0,FEMALE,MD,CRAFT-REPAIR,YACHTING,OTHER-RELATIVE,45500,-37800,2015-01-19,SINGLE VEHICLE COLLISION,SIDE COLLISION,TOTAL LOSS,OTHER,NY,NORTHBROOK,19,1,YES,1,0,NO,72930,6630,13260,53040,ACCURA,TL,2015,0
196,39,1992-08-02,IN,500/1000,2000,1475.73,0,FEMALE,HIGH SCHOOL,HANDLERS-CLEANERS,CAMPING,OWN-CHILD,57000,-27300,2015-02-22,MULTI-VEHICLE COLLISION,SIDE COLLISION,MAJOR DAMAGE,POLICE,VA,COLUMBUS,8,3,NO,2,0,NO,60400,6040,6040,48320,NISSAN,PATHFINDER,2014,0
460,62,2002-06-25,IN,250/500,1000,1187.96,4000000,MALE,JD,OTHER-SERVICE,BUNGIE-JUMPING,OWN-CHILD,0,0,2015-01-01,MULTI-VEHICLE COLLISION,REAR COLLISION,MINOR DAMAGE,POLICE,NY,COLUMBUS,20,3,NO,1,0,NO,47160,0,5240,41920,SUBURU,IMPREZA,2011,0
217,41,2005-11-27,IL,500/1000,2000,875.15,0,FEMALE,ASSOCIATE,MACHINE-OP-INSPCT,SKYDIVING,OWN-CHILD,46700,0,2015-02-10,MULTI-VEHICLE COLLISION,SIDE COLLISION,TOTAL LOSS,POLICE,SC,ARLINGTON,15,3,NO,1,2,NO,37840,0,4730,33110,ACCURA,RSX,1996,0
370,55,1994-05-27,IL,100/300,2000,972.18,0,MALE,HIGH SCHOOL,PROF-SPECIALTY,PAINTBALL,OTHER-RELATIVE,72700,-68200,2015-01-11,MULTI-VEHICLE COLLISION,REAR COLLISION,MAJOR DAMAGE,AMBULANCE,SC,HILLSDALE,20,3,NO,0,0,YES,71520,17880,5960,47680,SUBURU,FORRESTOR,2000,1
413,55,1991-02-08,IN,100/300,2000,1268.79,0,MALE,MD,PRIV-HOUSE-SERV,CHESS,OWN-CHILD,0,-31000,2015-01-19,SINGLE VEHICLE COLLISION,FRONT COLLISION,TOTAL LOSS,AMBULANCE,WV,NORTHBEND,15,1,NO,2,2,NO,98160,8180,16360,73620,DODGE,RAM,2011,1
237,40,1996-02-02,IN,100/300,1000,883.31,0,MALE,COLLEGE,CRAFT-REPAIR,KAYAKING,HUSBAND,0,-53500,2015-02-24,SINGLE VEHICLE COLLISION,REAR COLLISION,MINOR DAMAGE,OTHER,VA,RIVERWOOD,6,1,NO,1,3,NO,77880,7080,14160,56640,FORD,ESCAPE,2005,0
8,35,2013-12-05,OH,100/300,2000,1266.92,0,MALE,MASTERS,SALES,POLO,OWN-CHILD,0,0,2015-01-09,MULTI-VEHICLE COLLISION,REAR COLLISION,MAJOR DAMAGE,OTHER,OH,ARLINGTON,16,3,NO,1,3,YES,71500,16500,11000,44000,FORD,ESCAPE,2006,1
257,43,1990-09-20,IN,100/300,2000,1322.1,0,MALE,HIGH SCHOOL,PROF-SPECIALTY,GOLF,OWN-CHILD,0,-29200,2015-01-28,PARKED CAR,REAR COLLISION,MINOR DAMAGE,POLICE,PA,ARLINGTON,4,1,YES,1,3,YES,9020,1640,820,6560,TOYOTA,CAMRY,2005,0
202,34,2002-07-18,IN,100/300,500,848.07,3000000,MALE,JD,EXEC-MANAGERIAL,CHESS,NOT-IN-FAMILY,31000,-30200,2015-01-07,VEHICLE THEFT,REAR COLLISION,MINOR DAMAGE,POLICE,VA,NORTHBROOK,5,1,YES,2,1,NO,5720,1040,520,4160,SUBURU,FORRESTOR,2003,1
224,40,1990-02-08,OH,100/300,2000,1291.7,0,FEMALE,JD,SALES,KAYAKING,NOT-IN-FAMILY,0,-55600,2015-01-08,SINGLE VEHICLE COLLISION,SIDE COLLISION,MINOR DAMAGE,OTHER,SC,NORTHBEND,21,1,NO,1,0,YES,69840,7760,15520,46560,DODGE,NEON,2009,0
241,45,2014-03-04,IL,500/1000,2000,1104.5,0,FEMALE,PHD,MACHINE-OP-INSPCT,BASKETBALL,UNMARRIED,0,0,2015-02-15,SINGLE VEHICLE COLLISION,REAR COLLISION,MINOR DAMAGE,POLICE,SC,NORTHBROOK,5,1,NO,2,2,NO,91650,14100,14100,63450,ACCURA,TL,2011,0
64,25,2000-02-18,IL,250/500,1000,954.16,0,MALE,MASTERS,PROF-SPECIALTY,VIDEO-GAMES,HUSBAND,53200,0,2015-01-18,MULTI-VEHICLE COLLISION,SIDE COLLISION,MAJOR DAMAGE,AMBULANCE,SC,COLUMBUS,22,4,NO,0,0,NO,75600,12600,12600,50400,TOYOTA,COROLLA,2005,0
166,37,2008-06-19,IL,100/300,2000,1337.28,8000000,MALE,JD,CRAFT-REPAIR,READING,HUSBAND,27500,0,2015-02-28,MULTI-VEHICLE COLLISION,SIDE COLLISION,MAJOR DAMAGE,POLICE,WV,RIVERWOOD,10,3,NO,2,2,NO,67140,7460,7460,52220,FORD,F150,2006,1
155,35,2003-08-01,IL,500/1000,1000,1088.34,0,FEMALE,ASSOCIATE,ADM-CLERICAL,YACHTING,OTHER-RELATIVE,81100,0,2015-02-24,MULTI-VEHICLE COLLISION,FRONT COLLISION,TOTAL LOSS,POLICE,NY,ARLINGTON,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,3 SERIES,2008,0
114,30,1992-04-04,IL,100/300,1000,1558.29,0,MALE,HIGH SCHOOL,FARMING-FISHING,VIDEO-GAMES,WIFE,51400,-64000,2015-01-09,MULTI-VEHICLE COLLISION,FRONT COLLISION,MAJOR DAMAGE,AMBULANCE,NY,HILLSDALE,1,3,NO,1,2,NO,77110,14020,14020,49070,SUBURU,IMPREZA,2015,0
149,37,1991-01-13,IL,500/1000,500,1415.68,0,MALE,PHD,PROF-SPECIALTY,YACHTING,OWN-CHILD,0,0,2015-02-12,SINGLE VEHICLE COLLISION,SIDE COLLISION,TOTAL LOSS,FIRE,WV,HILLSDALE,17,1,YES,0,1,YES,64800,10800,5400,48600,AUDI,A3,1999,0
147,33,2010-08-08,OH,100/300,1000,1334.15,6000000,MALE,HIGH SCHOOL,CRAFT-REPAIR,READING,NOT-IN-FAMILY,53300,-49200,2015-01-24,SINGLE VEHICLE COLLISION,FRONT COLLISION,MAJOR DAMAGE,OTHER,WV,SPRINGFIELD,15,1,YES,2,0,YES,53100,10620,5310,37170,MERCEDES,C300,1995,1
62,28,2003-03-09,IL,100/300,1000,988.45,0,FEMALE,MASTERS,PROTECTIVE-SERV,CAMPING,UNMARRIED,0,0,2015-01-09,SINGLE VEHICLE COLLISION,REAR COLLISION,TOTAL LOSS,POLICE,NY,NORTHBROOK,3,1,NO,1,1,YES,60200,6020,6020,48160,SUBURU,FORRESTOR,2004,1
289,49,1993-02-03,IL,500/1000,2000,1222.48,0,FEMALE,JD,PRIV-HOUSE-SERV,GOLF,UNMARRIED,0,0,2015-01-18,PARKED CAR,REAR COLLISION,MINOR DAMAGE,POLICE,WV,ARLINGTON,16,1,NO,1,1,YES,5330,1230,820,3280,SUBURU,LEGACY,2001,0
431,54,2002-11-25,IN,500/1000,2000,1155.55,0,FEMALE,MD,CRAFT-REPAIR,BUNGIE-JUMPING,UNMARRIED,65700,0,2015-01-21,MULTI-VEHICLE COLLISION,REAR COLLISION,MAJOR DAMAGE,POLICE,NY,HILLSDALE,4,3,NO,2,0,NO,62300,12460,6230,43610,JEEP,WRANGLER,2007,0
199,37,1997-07-27,IN,250/500,500,1262.08,0,MALE,JD,TECH-SUPPORT,VIDEO-GAMES,WIFE,48500,0,2015-01-08,SINGLE VEHICLE COLLISION,FRONT COLLISION,MAJOR DAMAGE,AMBULANCE,NC,COLUMBUS,4,1,NO,0,3,NO,60170,10940,10940,38290,NISSAN,PATHFINDER,2011,1
79,26,1995-05-08,IL,100/300,500,1451.62,0,MALE,ASSOCIATE,TECH-SUPPORT,KAYAKING,NOT-IN-FAMILY,0,-55700,2015-01-03,SINGLE VEHICLE COLLISION,REAR COLLISION,MINOR DAMAGE,AMBULANCE,WV,COLUMBUS,19,1,NO,2,2,NO,40000,8000,4000,28000,BMW,M5,2010,0
116,34,2012-08-30,IN,250/500,500,1737.66,0,MALE,ASSOCIATE,TRANSPORT-MOVING,CHESS,UNMARRIED,0,-24100,2015-01-01,SINGLE VEHICLE COLLISION,SIDE COLLISION,MAJOR DAMAGE,POLICE,WV,NORTHBROOK,1,1,NO,1,1,NO,97080,16180,16180,64720,BMW,X5,2001,1
37,23,2006-04-30,IL,500/1000,500,1475.93,0,FEMALE,COLLEGE,PROF-SPECIALTY,HIKING,HUSBAND,0,-67400,2015-01-16,MULTI-VEHICLE COLLISION,SIDE COLLISION,MINOR DAMAGE,OTHER,SC,SPRINGFIELD,17,3,YES,1,0,NO,51660,5740,5740,40180,DODGE,RAM,2010,0
106,30,2003-04-13,OH,250/500,500,538.17,0,FEMALE,PHD,TRANSPORT-MOVING,READING,OWN-CHILD,49700,-60200,2015-02-10,SINGLE VEHICLE COLLISION,REAR COLLISION,TOTAL LOSS,OTHER,NC,ARLINGTON,23,1,NO,2,2,NO,51120,5680,5680,39760,MERCEDES,E400,2005,0
269,44,2007-12-05,IL,100/300,2000,1081.08,0,MALE,JD,PRIV-HOUSE-SERV,READING,UNMARRIED,36400,-28700,2015-02-14,SINGLE VEHICLE COLLISION,FRONT COLLISION,MINOR DAMAGE,OTHER,SC,SPRINGFIELD,14,1,YES,0,2,NO,56400,11280,11280,33840,TOYOTA,HIGHLANDER,2014,0
265,40,2006-08-21,IL,250/500,1000,1454.43,0,FEMALE,MD,PROTECTIVE-SERV,YACHTING,HUSBAND,0,0,2015-02-21,MULTI-VEHICLE COLLISION,REAR COLLISION,TOTAL LOSS,OTHER,NY,ARLINGTON,17,3,NO,2,3,NO,55120,6890,0,48230,ACCURA,MDX,2002,0
163,33,1990-01-08,IN,100/300,500,1240.47,0,FEMALE,ASSOCIATE,OTHER-SERVICE,POLO,HUSBAND,35300,0,2015-02-18,MULTI-VEHICLE COLLISION,REAR COLLISION,TOTAL LOSS,FIRE,NC,NORTHBEND,11,3,YES,1,1,NO,77110,0,14020,63090,HONDA,CIVIC,2014,0
355,47,1990-03-18,OH,500/1000,2000,1273.7,4000000,MALE,COLLEGE,OTHER-SERVICE,KAYAKING,HUSBAND,0,0,2015-01-10,MULTI-VEHICLE COLLISION,FRONT COLLISION,MAJOR DAMAGE,FIRE,WV,ARLINGTON,19,3,NO,2,1,NO,62800,6280,6280,50240,AUDI,A3,2003,1
175,34,2008-01-07,IN,500/1000,1000,1123.87,8000000,FEMALE,PHD,PROTECTIVE-SERV,DANCING,OTHER-RELATIVE,0,0,2015-02-26,VEHICLE THEFT,REAR COLLISION,TRIVIAL DAMAGE,POLICE,NY,ARLINGTON,5,1,NO,2,0,YES,7290,810,810,5670,VOLKSWAGEN,PASSAT,1995,0
192,35,1997-03-10,IL,100/300,1000,1245.89,0,FEMALE,MASTERS,EXEC-MANAGERIAL,MOVIES,WIFE,0,-40300,2015-01-01,SINGLE VEHICLE COLLISION,REAR COLLISION,TOTAL LOSS,OTHER,WV,SPRINGFIELD,19,1,NO,0,0,NO,76600,15320,7660,53620,MERCEDES,C300,2000,0
430,59,2004-01-10,OH,250/500,2000,1326.62,7000000,MALE,MD,OTHER-SERVICE,BUNGIE-JUMPING,OWN-CHILD,0,0,2015-01-03,MULTI-VEHICLE COLLISION,FRONT COLLISION,MINOR DAMAGE,FIRE,NY,RIVERWOOD,19,3,NO,0,3,YES,81800,16360,8180,57260,NISSAN,PATHFINDER,1998,0
91,27,1994-08-20,IL,100/300,2000,1073.83,0,FEMALE,JD,FARMING-FISHING,POLO,HUSBAND,0,0,2015-01-17,VEHICLE THEFT,REAR COLLISION,TRIVIAL DAMAGE,POLICE,NY,ARLINGTON,4,1,NO,1,2,NO,7260,1320,660,5280,BMW,M5,2008,0
217,39,2002-06-02,IN,100/300,1000,1530.52,0,MALE,COLLEGE,ARMED-FORCES,BASKETBALL,NOT-IN-FAMILY,0,0,2015-02-22,VEHICLE THEFT,REAR COLLISION,MINOR DAMAGE,POLICE,WV,NORTHBEND,8,1,NO,2,1,YES,4300,430,430,3440,TOYOTA,COROLLA,2000,0
223,40,1994-04-28,IN,100/300,500,1201.41,0,FEMALE,JD,PRIV-HOUSE-SERV,MOVIES,HUSBAND,88400,-46500,2015-01-27,MULTI-VEHICLE COLLISION,SIDE COLLISION,MAJOR DAMAGE,POLICE,NC,COLUMBUS,7,3,YES,1,0,NO,70510,12820,12820,44870,SUBURU,FORRESTOR,1999,0
195,39,2014-08-17,OH,250/500,1000,1393.57,0,MALE,PHD,MACHINE-OP-INSPCT,MOVIES,NOT-IN-FAMILY,47600,-39600,2015-02-27,PARKED CAR,REAR COLLISION,MINOR DAMAGE,POLICE,VA,NORTHBEND,5,1,NO,0,1,YES,2640,480,480,1680,FORD,F150,2009,0
22,26,2007-08-11,OH,100/300,1000,1276.57,0,MALE,PHD,CRAFT-REPAIR,SKYDIVING,NOT-IN-FAMILY,71500,0,2015-01-06,SINGLE VEHICLE COLLISION,REAR COLLISION,MINOR DAMAGE,FIRE,NY,ARLINGTON,3,1,YES,1,2,NO,78900,15780,7890,55230,CHEVROLET,SILVERADO,1995,0
439,56,2008-11-20,IN,250/500,500,1082.49,0,FEMALE,PHD,PROF-SPECIALTY,CHESS,UNMARRIED,36100,-55000,2015-02-28,MULTI-VEHICLE COLLISION,FRONT COLLISION,MAJOR DAMAGE,FIRE,SC,COLUMBUS,12,3,NO,2,3,NO,56430,0,6270,50160,HONDA,CRV,2014,0
94,32,1995-10-18,IN,500/1000,1000,1414.74,0,FEMALE,MASTERS,ADM-CLERICAL,HIKING,OWN-CHILD,0,0,2015-02-22,PARKED CAR,REAR COLLISION,MINOR DAMAGE,POLICE,VA,RIVERWOOD,19,1,NO,1,3,NO,2400,300,300,1800,CHEVROLET,SILVERADO,2014,0
11,39,1993-05-19,IL,250/500,2000,1470.06,0,MALE,PHD,OTHER-SERVICE,YACHTING,HUSBAND,56600,-45800,2015-01-07,SINGLE VEHICLE COLLISION,FRONT COLLISION,TOTAL LOSS,AMBULANCE,WV,RIVERWOOD,22,1,YES,0,1,NO,65790,7310,7310,51170,SAAB,93,2007,0
151,36,2005-02-26,OH,250/500,2000,870.63,0,FEMALE,MD,ADM-CLERICAL,KAYAKING,OWN-CHILD,94800,-58500,2015-01-06,MULTI-VEHICLE COLLISION,SIDE COLLISION,MINOR DAMAGE,POLICE,VA,HILLSDALE,12,3,NO,1,1,NO,62920,11440,5720,45760,FORD,ESCAPE,2000,0
154,34,1990-02-14,IN,100/300,500,795.23,0,MALE,PHD,MACHINE-OP-INSPCT,BASE-JUMPING,OTHER-RELATIVE,36900,0,2015-01-10,MULTI-VEHICLE COLLISION,REAR COLLISION,MAJOR DAMAGE,POLICE,NY,SPRINGFIELD,15,3,YES,2,1,NO,69480,15440,0,54040,NISSAN,MAXIMA,2014,1
245,44,1993-09-30,IL,500/1000,1000,1168.2,0,MALE,JD,HANDLERS-CLEANERS,BASKETBALL,HUSBAND,69100,0,2015-02-11,MULTI-VEHICLE COLLISION,SIDE COLLISION,TOTAL LOSS,OTHER,OH,SPRINGFIELD,23,3,NO,0,3,NO,44280,7380,3690,33210,HONDA,ACCORD,1997,0
119,32,2014-06-10,IL,500/1000,1000,993.51,0,MALE,HIGH SCHOOL,ARMED-FORCES,BUNGIE-JUMPING,UNMARRIED,0,-49500,2015-01-12,SINGLE VEHICLE COLLISION,SIDE COLLISION,MINOR DAMAGE,OTHER,WV,HILLSDALE,12,1,NO,0,3,YES,56300,5630,11260,39410,BMW,M5,2011,0
215,42,2008-10-28,OH,500/1000,500,1848.81,0,MALE,JD,TRANSPORT-MOVING,VIDEO-GAMES,OWN-CHILD,0,-49000,2015-02-06,MULTI-VEHICLE COLLISION,FRONT COLLISION,MAJOR DAMAGE,FIRE,WV,NORTHBEND,20,3,YES,2,2,YES,68520,11420,5710,51390,SUBURU,LEGACY,2003,1
295,42,2007-04-24,OH,250/500,2000,1641.73,5000000,MALE,PHD,SALES,CHESS,NOT-IN-FAMILY,62400,0,2015-01-20,MULTI-VEHICLE COLLISION,REAR COLLISION,TOTAL LOSS,FIRE,VA,RIVERWOOD,16,3,NO,0,0,NO,59130,6570,6570,45990,FORD,ESCAPE,2006,1
254,39,1993-12-13,IN,100/300,500,1362.87,0,FEMALE,MD,EXEC-MANAGERIAL,CHESS,OTHER-RELATIVE,35700,0,2015-02-22,MULTI-VEHICLE COLLISION,FRONT COLLISION,MINOR DAMAGE,AMBULANCE,NY,ARLINGTON,6,3,YES,2,2,NO,82320,13720,6860,61740,DODGE,NEON,1995,1
107,31,2011-08-17,IN,250/500,500,1239.22,7000000,FEMALE,HIGH SCHOOL,TECH-SUPPORT,PAINTBALL,NOT-IN-FAMILY,43400,-91200,2015-01-30,SINGLE VEHICLE COLLISION,SIDE COLLISION,MINOR DAMAGE,FIRE,SC,SPRINGFIELD,12,1,YES,0,1,NO,89700,13800,13800,62100,AUDI,A5,2009,1
478,64,1990-08-20,OH,250/500,500,835.02,0,FEMALE,ASSOCIATE,ADM-CLERICAL,READING,UNMARRIED,59600,0,2015-02-02,MULTI-VEHICLE COLLISION,SIDE COLLISION,MINOR DAMAGE,FIRE,WV,HILLSDALE,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,X6,1998,0
128,30,1994-02-11,OH,100/300,1000,1061.33,0,MALE,MD,MACHINE-OP-INSPCT,MOVIES,OWN-CHILD,43300,-66200,2015-01-10,SINGLE VEHICLE COLLISION,FRONT COLLISION,MAJOR DAMAGE,AMBULANCE,WV,NORTHBROOK,8,1,NO,0,3,NO,68530,12460,6230,49840,AUDI,A5,1997,0
338,49,1994-02-22,IN,500/1000,1000,1279.08,0,MALE,MD,OTHER-SERVICE,KAYAKING,OWN-CHILD,0,-51500,2015-02-27,PARKED CAR,REAR COLLISION,MINOR DAMAGE,POLICE,NC,RIVERWOOD,13,1,NO,0,1,NO,4300,860,860,2580,FORD,F150,2004,0
271,42,2011-08-15,OH,100/300,500,1105.49,0,FEMALE,ASSOCIATE,PROF-SPECIALTY,SLEEPING,OWN-CHILD,56200,-50000,2015-02-20,MULTI-VEHICLE COLLISION,SIDE COLLISION,MAJOR DAMAGE,OTHER,SC,HILLSDALE,12,2,NO,2,3,NO,68310,12420,6210,49680,AUDI,A3,2003,1
222,41,1998-11-11,OH,100/300,2000,1055.53,0,FEMALE,MD,ARMED-FORCES,CROSS-FIT,NOT-IN-FAMILY,37800,-50300,2015-02-08,SINGLE VEHICLE COLLISION,FRONT COLLISION,TOTAL LOSS,OTHER,WV,NORTHBROOK,7,1,NO,0,2,NO,61290,6810,6810,47670,HONDA,CIVIC,1995,1
199,41,1995-12-04,OH,250/500,1000,895.83,0,FEMALE,ASSOCIATE,SALES,PAINTBALL,HUSBAND,0,0,2015-02-11,SINGLE VEHICLE COLLISION,REAR COLLISION,MINOR DAMAGE,AMBULANCE,NC,ARLINGTON,10,1,NO,1,2,NO,30100,3010,0,27090,CHEVROLET,MALIBU,1999,0
215,37,2002-12-28,IN,100/300,500,1632.93,0,FEMALE,COLLEGE,TRANSPORT-MOVING,GOLF,NOT-IN-FAMILY,0,-42900,2015-02-23,MULTI-VEHICLE COLLISION,REAR COLLISION,MINOR DAMAGE,FIRE,SC,RIVERWOOD,7,3,NO,2,0,YES,57120,9520,4760,42840,MERCEDES,C300,2002,0
192,40,2004-04-15,IL,100/300,1000,1405.99,0,FEMALE,ASSOCIATE,SALES,YACHTING,WIFE,0,0,2015-03-01,MULTI-VEHICLE COLLISION,SIDE COLLISION,MINOR DAMAGE,AMBULANCE,VA,SPRINGFIELD,18,3,YES,1,0,YES,42930,9540,4770,28620,BMW,X6,2005,0
120,35,2001-02-02,OH,100/300,1000,1425.54,0,FEMALE,HIGH SCHOOL,TRANSPORT-MOVING,BUNGIE-JUMPING,OTHER-RELATIVE,78300,0,2015-01-15,MULTI-VEHICLE COLLISION,FRONT COLLISION,TOTAL LOSS,AMBULANCE,SC,RIVERWOOD,22,3,NO,2,0,NO,51210,11380,5690,34140,FORD,FUSION,2010,0
270,45,2010-01-12,OH,500/1000,1000,1038.09,0,FEMALE,COLLEGE,HANDLERS-CLEANERS,GOLF,HUSBAND,0,-19700,2015-01-14,MULTI-VEHICLE COLLISION,FRONT COLLISION,MINOR DAMAGE,FIRE,NY,SPRINGFIELD,18,3,NO,1,1,YES,89400,14900,7450,67050,SUBURU,LEGACY,1998,0
